drugname_norm,score,rxnorm_name_best,ingredient_name,accepted_by,has_rxnorm_name,stratum
SEMAGLUTIDE 3 MG,12.49600601196289,semaglutide 3 MG,"Rybelsus,Oral Tablet,Oral Product,Pill,semaglutide,semaglutide 3 MG Oral Tablet [Rybelsus],semaglutide 3 MG [Rybelsus],semaglutide Oral Tablet [Rybelsus],Rybelsus Oral Product,Rybelsus Pill,semaglutide 3 MG Oral Tablet,semaglutide 3 MG,semaglutide Oral Tablet,semaglutide Oral Product,semaglutide Pill",>=min,TRUE,9.5-10.0
TRULICITY SUBCUTANEOUS SOLUTION PEN-INJECTOR 0.75 MG/0.5 ML,20.034189224243164,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],"Trulicity,Auto-Injector,Injectable Product,dulaglutide,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],dulaglutide 1.5 MG/ML [Trulicity],dulaglutide Auto-Injector [Trulicity],Trulicity Injectable Product,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector,dulaglutide 1.5 MG/ML,dulaglutide Auto-Injector,dulaglutide Injectable Product",>=min,TRUE,9.5-10.0
TRULICITY PEN 0.75/0.5 ML SUBCUT SOLUTION,18.016090393066406,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],"Trulicity,Auto-Injector,Injectable Product,dulaglutide,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],dulaglutide 1.5 MG/ML [Trulicity],dulaglutide Auto-Injector [Trulicity],Trulicity Injectable Product,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector,dulaglutide 1.5 MG/ML,dulaglutide Auto-Injector,dulaglutide Injectable Product",>=min,TRUE,9.5-10.0
VICTOZA SOP,14.718400955200195,Victoza,"Victoza,Pen Injector,Injectable Product,liraglutide,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],liraglutide 6 MG/ML [Victoza],liraglutide Pen Injector [Victoza],Victoza Injectable Product,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 6 MG/ML,liraglutide Pen Injector,liraglutide Injectable Product",>=min,TRUE,9.5-10.0
BYDUREON INJECTION,14.744609832763672,exenatide Injection [Bydureon],"Bydureon,Injection,Injectable Product,exenatide,exenatide 2 MG Injection [Bydureon],exenatide 2 MG [Bydureon],exenatide Injection [Bydureon],Bydureon Injectable Product,exenatide 2 MG Injection,exenatide 2 MG,exenatide Injection,exenatide Injectable Product",>=min,TRUE,9.5-10.0
SAXENDA SQ 18MG/3ML,15.554436208564463,3 ML liraglutide 6 MG/ML Pen Injector [Saxenda],"Saxenda,Pen Injector,Injectable Product,liraglutide,3 ML liraglutide 6 MG/ML Pen Injector [Saxenda],liraglutide 6 MG/ML [Saxenda],liraglutide Pen Injector [Saxenda],Saxenda Injectable Product,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 6 MG/ML,liraglutide Pen Injector,liraglutide Injectable Product",>=min,TRUE,9.5-10.0
TIRZEPATIDE (MOUNJARO) 2.5MG PEN,15.583406448364258,tirzepatide 5 MG/ML [Mounjaro],"Mounjaro,Auto-Injector,Injection,Injectable Product,tirzepatide,0.5 ML tirzepatide 5 MG/ML Auto-Injector [Mounjaro],0.5 ML tirzepatide 5 MG/ML Injection [Mounjaro],tirzepatide 5 MG/ML [Mounjaro],tirzepatide Auto-Injector [Mounjaro],tirzepatide Injection [Mounjaro],Mounjaro Injectable Product,0.5 ML tirzepatide 5 MG/ML Auto-Injector,0.5 ML tirzepatide 5 MG/ML Injection,tirzepatide 5 MG/ML,tirzepatide Auto-Injector,tirzepatide Injection,tirzepatide Injectable Product",>=min,TRUE,9.5-10.0
TRULICITY .75 MG,12.034219741821289,Trulicity,"Trulicity,Auto-Injector,Injectable Product,dulaglutide,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity],0.5 ML dulaglutide 6 MG/ML Auto-Injector [Trulicity],0.5 ML dulaglutide 9 MG/ML Auto-Injector [Trulicity],dulaglutide 1.5 MG/ML [Trulicity],dulaglutide 3 MG/ML [Trulicity],dulaglutide 6 MG/ML [Trulicity],dulaglutide 9 MG/ML [Trulicity],dulaglutide Auto-Injector [Trulicity],Trulicity Injectable Product,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector,0.5 ML dulaglutide 3 MG/ML Auto-Injector,0.5 ML dulaglutide 6 MG/ML Auto-Injector,0.5 ML dulaglutide 9 MG/ML Auto-Injector,dulaglutide 1.5 MG/ML,dulaglutide 3 MG/ML,dulaglutide 6 MG/ML,dulaglutide 9 MG/ML,dulaglutide Auto-Injector,dulaglutide Injectable Product",>=min,TRUE,9.5-10.0
"VICTOZA 0.6/0.1ML, INJECT 1.8MG SUBQ DAILY",14.147874140739441,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],"Victoza,Pen Injector,Injectable Product,liraglutide,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],liraglutide 6 MG/ML [Victoza],liraglutide Pen Injector [Victoza],Victoza Injectable Product,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 6 MG/ML,liraglutide Pen Injector,liraglutide Injectable Product",>=min,TRUE,9.5-10.0
"TRULICITY, VITAMIN D",14.034219741821289,Trulicity,"Trulicity,Auto-Injector,Injectable Product,dulaglutide,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity],0.5 ML dulaglutide 6 MG/ML Auto-Injector [Trulicity],0.5 ML dulaglutide 9 MG/ML Auto-Injector [Trulicity],dulaglutide 1.5 MG/ML [Trulicity],dulaglutide 3 MG/ML [Trulicity],dulaglutide 6 MG/ML [Trulicity],dulaglutide 9 MG/ML [Trulicity],dulaglutide Auto-Injector [Trulicity],Trulicity Injectable Product,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector,0.5 ML dulaglutide 3 MG/ML Auto-Injector,0.5 ML dulaglutide 6 MG/ML Auto-Injector,0.5 ML dulaglutide 9 MG/ML Auto-Injector,dulaglutide 1.5 MG/ML,dulaglutide 3 MG/ML,dulaglutide 6 MG/ML,dulaglutide 9 MG/ML,dulaglutide Auto-Injector,dulaglutide Injectable Product",>=min,TRUE,9.5-10.0
